conn_count_uid_in	conn_count_uid_out	dns_count_uid_out	http_count_uid_in	ssl_count_uid_in
13628	1537	292	1491	323
11857	1537	199	1643	218
10482	2185	654	430	334
9860	1363	174	518	317
10276	1536	309	436	243
10924	1446	172	879	232
19197	3262	544	8823	272
13714	1307	212	3708	224
12111	1886	565	630	311
9676	1001	243	582	313
10224	1716	147	695	250
10516	924	133	648	222
13456	1862	195	2160	265
12929	1037	183	993	211
11806	2339	644	484	405
11667	1617	544	566	295
15193	2031	404	695	259
14295	1184	231	452	336
12819	1831	337	821	291
10999	1618	310	897	240
13475	1843	882	560	304
21598	2121	490	546	234
22349	1251	392	546	236
21614	1932	305	606	300
26445	1273	366	611	303
20707	2101	409	559	227
29614	1775	964	435	293
31233	2306	705	506	234
32207	1856	646	498	243
26616	2179	786	618	305
19461	1766	531	1972	323
22123	1731	517	1163	284
19835	1901	803	703	341
14320	1993	413	750	238
11695	1051	312	456	233
11358	1829	223	562	332
12370	1238	155	1541	300
17645	1748	441	1767	239
16910	2206	779	679	424
15246	1916	557	696	236
12201	1521	327	550	252
10991	1580	213	797	310
20888	3083	532	8630	281
14212	1408	236	3521	318
12114	2209	628	553	349
11126	1193	249	598	245
11240	1647	212	630	226
11161	1384	190	735	323
15936	2568	890	2145	281
10949	1423	398	961	313
10353	2019	664	496	294
9457	1824	209	601	216
10078	979	178	537	241
12419	1861	226	739	515
10479	1500	120	909	308
10486	1516	214	594	231
10933	1876	613	564	338
11211	1490	171	695	244
11313	1669	153	552	231
11348	1203	172	570	306
12120	1873	205	701	275
10424	1018	173	521	222
10942	2229	679	495	310
10753	1407	279	494	285
10600	1459	371	453	229
16215	1685	555	559	315
28884	3476	1917	2078	286
10551	1073	139	1069	239
10486	1850	548	547	307
9761	1634	108	461	228
9801	942	160	375	230
10985	1631	131	581	299
12232	1259	152	2056	281
13050	1251	149	1070	221
10801	2368	541	494	331
9972	1231	124	495	221
10096	1288	141	408	266
15487	1393	238	736	320
28831	3510	926	8289	294
24756	2243	737	3803	233
20978	1792	1075	626	305
19708	2092	606	439	232
12491	1647	103	479	228
9834	1256	122	503	305
13218	1356	108	2028	274
11876	1877	285	880	244
11447	1637	481	456	307
10752	1747	173	481	225
10090	1289	307	439	221
14196	1529	79	1224	308
11297	1676	60	986	268
10279	1026	116	703	235
10413	1892	487	493	288
