conn_count_uid_in	conn_count_uid_out	dns_count_uid_out	http_count_uid_in	ssl_count_uid_in
10506	1735	186	540	316
9766	1757	139	784	352
13621	1390	105	2561	464
11604	1891	222	1399	276
11168	2661	803	597	337
10432	2074	330	761	357
9409	1432	216	623	372
11094	1810	175	867	335
17832	3140	231	8070	301
15679	1934	142	4445	273
11487	1784	645	759	276
11250	1722	118	701	339
10913	1705	66	605	331
13568	1814	164	552	328
13327	1454	200	1849	299
12104	1760	181	2346	238
13256	2581	705	554	233
11545	1982	442	692	205
11781	1994	406	699	309
11666	1636	222	899	368
11749	1896	260	1152	272
12157	1841	202	686	263
11721	2115	692	1849	236
10507	1854	404	1155	376
11402	2481	430	862	302
12172	2391	369	473	301
16293	2269	401	769	266
16633	1758	400	735	232
36945	3785	2150	725	265
35327	3332	1468	813	220
33120	3229	1332	674	323
26313	2946	1236	708	413
16097	1875	589	571	324
11466	2058	429	642	225
11244	2478	896	493	245
10491	2380	928	735	223
10291	2031	708	484	307
9937	1636	294	529	313
11882	1836	263	2373	262
11347	1874	227	1356	681
10993	2584	713	715	555
10795	1639	278	914	208
10711	1961	375	533	321
11295	1798	206	855	312
17825	3545	416	8025	276
15085	1670	234	4319	247
20649	1949	693	764	265
10840	1651	123	688	221
10214	1685	194	637	294
10911	1954	219	681	329
12839	1856	225	2034	265
11776	1513	209	2191	235
10554	2166	640	897	248
11304	2027	427	884	254
12645	1691	296	685	305
10826	1648	218	952	326
10951	1867	239	1338	302
10713	1981	266	1078	228
10959	2108	705	838	235
11139	2276	707	864	209
11292	1940	309	788	372
10780	1893	240	712	307
11697	1777	135	1026	274
10788	1578	121	900	402
11359	2117	497	818	338
10982	1803	236	1028	215
11720	2127	326	587	299
10023	1522	178	1053	341
10002	1766	192	1230	274
10017	1848	244	821	253
10311	2206	659	751	234
9593	1668	277	779	220
11547	1579	218	740	302
9777	1803	251	754	344
11326	1960	242	2585	278
11275	2044	370	1690	240
10941	2156	721	819	349
10188	1789	221	855	219
11196	1814	263	789	305
10256	1932	408	1006	308
17225	2651	381	8058	264
14519	2219	187	4553	242
9744	2156	653	869	232
9894	1946	213	719	221
9218	1608	169	964	293
10027	1702	174	748	305
10756	1889	315	1970	371
10798	1839	307	2220	241
10152	1940	655	867	256
9345	1646	341	834	277
14583	2212	631	621	355
17920	2222	627	959	316
20435	2319	751	1115	291
20025	1963	627	672	246
19506	2862	1225	1067	238
13700	2024	493	785	231
11236	1686	183	442	295
8712	1314	230	449	309
9034	1719	278	701	373
13404	1689	152	562	226
17924	2074	650	413	274
18500	1571	281	404	218
18326	1660	223	461	302
13584	1874	266	602	364
10874	1758	145	568	290
19638	1731	189	539	259
17853	1677	593	553	236
18877	1810	299	535	216
18500	1783	304	481	296
18057	1815	308	574	319
25224	2779	1226	2533	285
11577	1449	173	1472	254
10117	2574	542	573	295
10069	1930	286	823	258
23588	2038	300	616	380
11155	1561	226	735	321
17367	3137	230	8206	379
13100	1757	121	4240	227
9286	1977	528	650	255
9437	1780	138	599	224
8986	1448	193	511	310
9717	1810	193	504	324
9806	1761	115	1836	292
10561	1785	152	2068	216
12008	2207	859	685	247
9621	1558	116	650	250
9667	1818	137	597	322
9506	1760	172	542	320
11248	1665	177	1099	296
11189	1451	64	905	252
10960	2108	541	685	292
11948	1962	321	688	231
9684	1848	242	570	322
10105	1692	340	640	322
10141	1775	129	824	268
10258	1729	103	982	255
9884	2191	617	599	272
8918	1338	225	647	234
9509	1889	248	485	322
9797	1790	196	654	323
10134	1727	158	695	273
9602	1764	109	560	270
10644	1689	456	602	227
10877	1725	149	727	253
10190	1816	125	736	311
10763	1917	101	557	309
11166	1883	137	3044	372
10790	1601	136	2120	282
10409	2331	541	622	326
9705	1816	252	654	215
10163	2368	798	709	360
9449	1927	391	885	350
15168	2940	455	5614	312
15502	1937	187	6382	242
10234	2231	772	1262	242
10835	1713	202	644	256
9466	1644	140	592	342
12095	1578	151	590	311
10693	1626	232	1903	274
18597	1954	405	2137	253
24514	2757	1271	899	256
28179	2499	1141	735	355
23128	2559	1239	538	330
23575	2253	960	563	340
22647	2283	732	1125	260
17357	2367	840	730	227
11731	2345	811	552	238
10921	1637	206	678	218
10354	1566	174	619	308
12070	1766	208	771	363
13869	1818	173	981	295
11791	1869	189	836	234
12776	2524	868	644	242
12533	1560	307	672	227
10171	1852	280	827	352
9782	1881	290	674	376
11359	1819	240	754	332
18146	1878	366	501	269
17992	1993	827	608	328
18645	1759	333	613	353
11353	1854	301	558	526
11534	1828	261	753	453
12992	2012	404	2659	339
11541	1773	322	1661	272
10810	2376	649	800	273
11666	2112	412	936	206
14037	2202	369	988	319
10701	2153	486	1153	369
17950	3576	589	7956	371
14338	1489	209	4443	332
13344	2092	594	790	327
11393	1760	209	741	290
11169	1806	287	591	376
10634	1785	192	697	344
10881	1246	109	1922	263
12394	1747	176	2163	258
10152	2123	533	720	241
9437	1721	182	732	213
9508	1688	139	620	319
9907	1425	152	694	328
9815	1652	148	1265	259
10184	1787	181	818	244
10445	2213	621	632	237
12698	1765	101	824	213
10466	1460	83	671	311
10556	1474	116	687	324
10521	1659	83	991	305
12546	1746	191	1184	252
11885	2003	466	787	296
10378	1682	168	711	206
10305	1444	234	668	327
10753	1859	214	753	309
9935	1740	146	758	318
9656	1856	287	1050	241
9798	2143	604	609	240
11361	1428	188	725	232
10144	1652	163	628	311
9881	1851	155	664	309
11962	1883	163	2477	279
9709	1814	123	1574	225
16582	2466	994	681	272
39975	3461	2017	743	226
32949	2731	1457	590	315
26552	2262	985	760	331
26980	3279	960	7795	299
16152	2050	710	4457	234
10957	2293	966	848	240
10746	2025	785	582	205
12181	1953	681	693	308
11698	1659	762	658	316
13578	2016	750	1885	272
13055	1906	740	2371	230
11267	2327	1117	648	268
11824	2198	854	635	239
11077	1938	962	593	301
11164	2263	867	649	337
12085	2119	761	1338	282
12082	2028	749	806	253
14188	2024	1148	528	235
12411	2206	960	828	229
12531	2382	1209	588	343
12190	2270	1054	572	352
12181	1966	852	936	270
12141	1911	1040	688	228
12310	2531	1361	645	354
11973	2101	970	732	246
12059	2185	1002	586	350
11558	1788	1091	520	328
11613	2087	916	588	326
7894	1627	67	483	248
8675	1934	446	497	262
8942	1470	165	566	229
9946	1435	129	509	316
8302	1642	105	524	319
12525	1741	205	2385	310
11648	1843	265	1423	232
10112	2290	768	641	261
10923	2037	464	569	211
9784	1988	420	669	314
8487	1778	179	859	324
15585	2837	347	7827	291
12711	1819	164	4196	388
8128	1851	425	509	245
8114	1626	63	764	211
8272	1193	130	691	317
7734	1675	168	574	332
10047	1609	68	1794	331
9260	1588	38	2065	239
7965	1531	491	522	230
8797	1735	281	543	230
12430	1910	371	540	361
14961	1958	386	748	351
14837	1831	454	1014	296
14196	2002	347	645	229
17089	2269	630	449	243
14278	2153	362	524	238
12906	1871	398	556	304
13024	1931	448	640	299
11763	2015	474	962	327
10326	1875	265	745	260
9481	1952	396	520	261
9859	1460	237	627	243
12962	1978	381	1423	314
13412	1996	285	733	318
13425	2042	311	639	270
13163	2021	457	506	233
12916	1871	722	594	234
13795	2053	362	863	219
13506	2089	384	1001	331
13146	2122	450	1072	322
17238	2112	371	2934	312
11657	1654	206	1638	271
8904	2232	575	543	273
9050	1653	51	653	225
9033	1716	128	548	320
9577	1725	79	833	328
16748	3030	281	8022	297
12144	1546	58	4321	232
8955	2164	633	741	235
7326	1578	60	582	272
7452	1650	117	570	328
8318	1281	90	727	345
10165	1583	97	2055	291
9878	1605	115	2207	257
8783	1991	486	667	243
8715	1799	253	688	227
9262	1673	179	710	337
10508	1828	240	818	327
10321	1875	152	1124	274
9767	1812	112	866	240
9755	2274	684	709	225
8894	1424	202	828	207
9366	1664	122	635	329
